aikuinen
pitkin
radio
ranta
sanoa
siirtää
sukunimi
taajuus
tutkia
ulkoinen
vahinko
vaikutus
massa
välittyä
idea
väline
julkinen
kapteeni
kerta
kuolema
lintu
kuvio
mahdollistaa
putkilo
nousu
ohjaamo
palvella
paperinen
polttoaine
runko
sata
siipi
laite
viedä
avioliitto
ennalta
hame
kautta
laki
mielipide
osapuoli
parisuhde
perijä
pukeutua
rakastaa
riippua
sitoa
säätää
taloudellinen
tuomari
uskollinen
vaimo
virallinen
äiti
harmaa
hotelli
hyökkäys
kello
korkea
torni
linna
maisema
nappula
nähtävyys
prinsessa
raamattu
ritari
tarkkailu
kortti
taso
tiili
tähystys
valtakunta
valvonta
vanhanaikainen
kuva
ympäristö
abstrakti
ajatella
akateeminen
arvo
arvostaa
tauko
hetki
ilo
kokemus
lupa
menettää
oikeus
poliittinen
päättää
päätös
rangaistus
tahtoa
teko
totella
vaikeus
vankila
raha
fakta
fiktiivinen
istua
itse
julkaista
kykenevä
kynä
mielikuvituksellinen
palkinto
tausta
tieto
tie
viini
bändi
ilmainen
instrumentti
kirkko
kokoelma
kuunnella
melodinen
noudattaa
nuotti
rituaali
rytminen
suu
yleisö
huuli
avaruus
esine
henkilökohtainen
johtua
kuu
lehti
veto
myötä
olento
sopiva
suure
tasapainottaa
vähentää
elementti
kallio
kiipeillä
kulua
läheisyys
maalata
maaperä
muodostelma
näkyä
presidentti
sammaloitua
varrella
bakteeri
erillinen
hoitaja
instituutio
kliininen
laitos
loukkaantua
lääketiede
lääke
lääkäri
potilas
risti
sairaala
sairaanhoitaja
surullinen
säädellä
terveydenhuolto
tukea
univormu
diesel
hiili
veturi
jaksaa
juna
raide
vaunu
kisko
konduktööri
penkki
rautatie
rengas
vuosi
ajankohtainen
havainnoida
huomio
internet
kansakunta
kuuluisuus
media
merkittävä
monimutkainen
muuttaa
selittää
tapahtuma
tiede
väliaikainen
yllättävä
huonekalu
jahdata
karhea
peite
kauan
kynsi
leijona
lemmikki
maito
maukua
naukua
pentu
peto
aivo
jyrsijä
pörröinen
rotu
saalistus
sähköinen
tassu
tiikeri
vikkelä
yö
asento
juhla
kenkä
nauha
kävellä
jäädä
kuulla
proteiini
signaali
soveltaa
vastustus
hius
leikkaaja
oksa
parillinen
pensas
puutarha
pysyvä
vasen
halloween
koriste
kovertaa
köynnös
naama
ontto
raaka
kausi
satu
silmä
tärkkelys
vihannes
jyvä
kämmen
levittää
sarjakuva
syöjä
tauti
tuho
ärsyttää
keräily
retki
juttu
tikku
muovinen
vahingoittaa
veitsi
viidakko
vuolla
kiistellä
koko
mieli
perusyksikkö
pärjätä
samanlainen
unelmoida
uni
jälkeen
kohtalo
kyseenalaistaa
voitto
seuraamus
tuomio
uskoa
yliluonnollinen
estää
ilmasto
kehittyä
kokeilla
lisätä
murros
muutto
parannus
prosessi
syntymä
toisin
uusia
verrata
elin
katsoja
käsittää
ruoho
susi
teknologia
teollisuus
kanssa
kaveruus
kilpailla
urheilla
antiikki
jumala
kiinalainen
kulta
kuningas
mahduttaa
munkki
palvonta
pappi
rukoilu
symboliikka
yhteen
hiekka
istuttaa
keskellä
kukka
mäki
maaseutu
nurmikko
roskis
tapaaminen
vehreä
virkistys
itku
lanka
negatiivisuus
purkaus
räjähdys
tulivuori
voimallinen
vuotaa
hankkia
kannattaa
sija
laina
myynti
pankki
riski
otto
sijoittaa
aukko
kuinka
sairas
planeetta
raaja
tilavuus
yltää
ankka
haave
kolikko
kupari
ostovoima
lappu
vaihto
rikas
seteli
usea
valuutta
akustiikka
ammatti
levyttää
luova
mikrofoni
muusikko
nauhoitus
studio
tanssija
valaistus
valokuvaus
yksiö
äänieristää
äänittää
arvio
haistaa
miellyttää
objektiivinen
parturi
subjektiivisuus
tumma
täydellisyys
alapuoli
hammas
hengittää
hygienia
ilme
kasvo
maistaa
pussata
sisäänmeno
äänne
ystävällinen
kannatella
lakaisu
lika
liikutella
luu
metri
mummo
nivel
noituus
painovoima
pääsiäinen
risu
taistelu
rautainen
sirkus
taitava
kaivaa
kuoppa
lapa
litteä
tasainen
hallitsija
kansalainen
kruunu
naimisiin
nuori
tyttö
prinssi
ruotsi
tytär
varakas
haarukka
harava
heinä
kampa
kevät
laaja
piikki
seistä
taipuisa
grillata
poljin
syttyä
kiertää
lappi
matkailu
nuotio
oikeanlainen
telttailu
vaeltaa
kilometri
luoti
pysäkki
rahdata
työpaikka
antibiootti
dna
edistää
eliö
iho
infektio
laboratorio
liika
mikroskooppi
suolisto
virus
kaali
kukkakaali
vitamiini
ajokortti
bensa
bensiini
hidas
posti
ratti
tavaratila
realistinen
menneisyys
onnistua
suola
filosofia
järkevä
vahvistaa
ymmärrys
kitara
konsertti
näkymätön
soitin
ammua
intia
kavio
laiduntaa
lehmä
lypsy
märehtijä
naaras
sarvellinen
aita
turpa
täplikäs
utare
vasikka
kuivata
merkintä
muste
piirtää
selluloosa
tiedosto
aukio
elää
kolmiulotteinen
marmorinen
patsas
pronssi
tori
paimentaa
puskeva
vuoristo
ilmakehä
kaukaa
lähetin
raketti
harjoitella
muistella
vanhuus
kahvi
levähtää
selkänoja
sisustus
tuoli
facebook
mahti
hakemus
ylpeys
juures
juuri
keitto
kitkerä
peruna
hallinnollinen
hengellinen
kristinusko
kunta
ristiäinen
ulkopuolinen
valtiollinen
yhteisöllinen
keskus
hinta
kaikkialle
verkko
pelto
leipä
ruokailla
taulu
tylsistyä
remontointi
ruuvi
timantti
kuusi
moni
saastuttaa
suosikki
aamiainen
aamu
herätä
ilta
soida
valoisuus
vuorokausi
esitellä
kulttuurillinen
sivistyä
mauste
tuoksua
marja
mato
poimia
seinämä
imettää
rinta
äitienpäivä
luokka
pinta-ala
suuruus
aate
geeni
sisarus
puoleinen
perimä
sisko
sormikas
uloke
verhota
sukupolvi
laatu
pumpata
punasolu
pitoinen
sattua
suoni
varasto
alennus
taloustiede
haastava
hypoteesi
luotettavuus
oppi
professori
testaus
toistaa
tosiseikka
yli
sakara
tammenterho
terho
aavikko
autio
kameli
juhta
kyttyrä
pohjoinen
varvas
napittaa
torso
vartalo
keskeytys
lopettaa
mittainen
stressata
tilaisuus
heilua
helma
housu
koru
lahje
liehua
polvi
pusero
puuvillainen
päällä
sukkahousu
yllä
piippu
alainen
koneellinen
liukuhihna
työllistää
ikävä
harrastaa
jäätikkö
eurooppa
kukkula
luminen
mannerlaatta
törmäys
puro
muna
synnytys
kaapu
käytäntö
logiikka
muumi
opettaja
pohdiskella
teoretisoida
johdattaa
konteksti
rationaalisuus
eläintarha
hirnua
perässä
savanni
tuuletus
albumi
dokumentti
kansi
selailla
onnellisuus
poliisi
reagointi
tulipalo
verinen
fossiili
pohja
sytyttää
käsinoja
ääressä
järjestäjä
syntymäpäivä
vieras
yhdessäolo
yhteishenki
alkuaine
eri
seos
eristäytyä
luostari
muuri
nunna
vetäytyä
ympäröidä
amerikka
askel
cm
etäisyys
systeemi
mittayksikkö
ranskalainen
apina
käyrä
terttu
trooppinen
kissamainen
pilkukas
uhanalainen
aku
höyhen
kaakattaa
nokka
räpylä
sulka
vaakkua
resepti
nielu
palkata
pitkään
sipuli
alus
ammus
suunnata
tykki
kypsennys
liekki
takka
airo
kellua
kupera
älypuhelin
arvosana
arvostella
oppilas
paniikki
pitävyys
tietää
tuntematon
kirjanpito
käsky
ladata
ohjelmisto
toteutus
sukupuolielin
ruumiillinen
ruuma
ohje
selkeyttää
esitelmä
käyttötarkoitus
palaminen
rakennusaine
ympäristöystävällinen
eläytyä
juoni
käsikirjoittaja
näytelmä
näyttämö
suunnittelu
teatteri
vuorosana
ideologia
muokkaaja
puolue
tavoittelu
villa
hartia
niska
selkäranka
kädellinen
näppäillä
peukku
positiivisuus
pystyssä
tarttua
ampuma-ase
kuula
laukaisija
lyönti
elokuva
ruuti
akseli
öljyinen
hiki
lammas
reiällinen
esiintyminen
orkesteri
keittäjä
maanpuolustus
tasa-arvoinen
toinen
yöpyminen
portti
maanviljely
porkkana
satula
talli
kehystää
takapuoli
toimija
varsinainen
välttäämättä
ostaja
inflaatio
kolmas
taho
auktoriteetti
rikkoja
vartija
partioida
henkilöstö
pidättää
pilli
ratkaisija
rikollinen
sakottaa
virka
hyönteinen
reisi
sääri
jälki-istunto
todistus
jänis
kääryle
parsakaali
viestittää
kulmakarva
nyppiä
osuva
pihti
saksi
osallistuja
viihteellinen
sanomalehti
koppa
kotka
metsästäjä
pesiä
riista
temppu
tähdistö
vaakuna
venäläisyys
aasi
katos
ratsastaja
greippi
demokratia
diktatuuri
eduskunta
määräävä
sortti
väärin
ulotteinen
kaksiulotteinen
kamera
muistikuva
hämärä
kotieläin
loikkia
pomppia
töpö
lukko
sarana
sulkeutua
tietoliikenne
loistaa
tuikkia
sieni
ruumiinosa
simpukka
tulehtua
tärykalvo
äänestää
kuume
oireilla
tartunta
paiste
hattara
pilvinen
pimentää
tiivistymä
koolle
puheenjohtaja
pöytäkirja
selvitellä
sihteeri
vakavuus
liukua
narista
rajoite
tila
hankaus
keriä
kutista
lempi
neule
talvinen
flunssa
kietoa
elefantti
kärsiä
länsimaa
riisto
syöksyhammas
torahammas
hiilihydraatti
popcorn
tanko
tähkä
kirjasto
paksuus
viimeksi
leiri
oloinen
sankarillinen
epämääräinen
koodaus
nimetä
hunaja
juuso
jääkarhu
karjua
epähedelmä
määkiä
rasvainen
savustaa
kannalta
kartuttaa
työelämä
kysely
liittymä
sähköposti
pelaaminen
etuoikeus
koetella
sosiaalistaa
yksin
solu
sierain
nuhainen
rustoinen
räkä
tukossa
museoida
sulttaani
maskuliinisuus
teos
näytille
pensseli
popsia
ansio
arvonimi
kunniamaininta
listata
arvaus
data
laskelma
päätelmä
vika
ylittyä
rohtua
näyte
syyllinen
todenmukaisuus
kommunikoida
olkavarsi
ranne
tervehtiä
ympäriinsä
varustus
tappaja
tina
ylennys
henkitorvi
kipeytyä
nesteinen
vesipitoisuus
kyläläinen
köyhyys
talo
puristua
pakara
ilmentää
tunnetila
sivu
toivottava
tontti
palko
ruoka-aines
laakso
syvennys
viljava
painajainen
tunniste
asiantunteva
vastuullinen
asiakas
käyttöinen
pahvinen
alitajuinen
vääntely
geometria
pelottelu
katse
seilata
soutaja
kirsikka
takku
majoittaa
täältä
liite
mainita
huolehtivaisuus
siittäjä
menestyä
pingviini
pohjoisnapa
luukku
kettu
oveluus
viekkaus
hopeinen
paikallaan
polkupyörä
vielä
viattomuus
näppäryys
taikuus
ankea
kalteri
pois
selli
mutkikas
pyörät
suojaava
kirahvi
laikku
ripsi
piena
pihapiiri
valmentaja
työ
noki
nokikolari
sotku
vähä
bussi
henkilöllisyys
onnitella
tuhat
nukka
persikka
musta
suuri
väli
pesäpallo
ulvoa
ohjaustanko
polkea
pyöräily
aurinkokunta
taivaankappale
vesialue
deflaatio
heikentää
uutisoida
elinkeino
lihansyöjä
kohden
watti
lusikoida
ihmisjoukko
noin
populaatio
lomailla
kuokka
terä
kasvissyöjä
osaaja
väitellä
henkilöauto
joukkoliikenne
ajanjakso
hiljaa
keventää
puhelu
vaihdelaatikko
arkipäivä
kampaaja
periytyä
pahantahtoinen
tosissaan
sävelkulku
äänihuuli
milloin
kiiriä
kokonaiskäsitys
kreikkalainen
rusina
jumalanpalvelus
pyhyys
saarnaaja
siunata
itsepäisyys
apukeino
kaide
rotko
pascal
alttari
kaikua
vihkiminen
suoriutuja
irrota
lukuarvo
tallessa
epäjärjestys
sekaisin
elinikä
kalenteri
yksilöidä
vallihauta
automaatti
konkreetti
taka
kouluttaja
värjäys
jakaantua
kalja
uoma
osoitella
pinsettiote
naulata
työmies
lasinen
kansanedustaja
nostattaa
vaali
päivämäärä
väistämätön
ajastaa
kovaääninen
mitali
oranssi
seostaa
itiö
myrkyllisyys
rihmasto
symbioosi
kihlaus
upottaa
valtaistuin
pysähtyminen
tehdä
vapautus
visuaalistaa
silmänkääntötemppu
työhuone
kaikki
suvuton
