id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
765	hevonen	horse	animal	noun	hevonen	hevonen	horse	horse	HORSE_object	horse	hevonen	horse			0	
768	sairaala	hospital	building	noun	sairaala					hospital	sairaala	hospital			0	
769	hotelli	hotel	building	noun	hotelli					hotel	hotelli	hotel			0	
775	metsästys	hunting	abstract_mid	noun	metsästys	metsästys					metsästys	hunting			0	
786	aate	ideology	abstract_high	noun	aate	aate					aate	ideology			0	
789	infektio	infection	abstract_mid	noun	infektio	infektio					infektio	infection			0	
790	inflaatio	inflation	abstract_high	noun	inflaatio	inflaatio					inflaatio	inflation			0	
796	internet	internet	abstract_mid	noun	internet	internet					internet	internet			0	
797	sijoitus	investment	abstract_high	noun	sijoitus	sijoitus					sijoitus	investment			0	
802	saari	island	nature	noun	saari	saari				island	saari	island			0	
807	vankila	jail	building	noun	vankila	vankila				jail	vankila	jail			0	
820	tuomari	judge	human	noun	tuomari	tuomari					tuomari	judge			0	
836	kuningas	king	human	noun	kuningas	kuningas					kuningas	king			0	
844	puukko	knife	tool	noun	puukko						puukko		puukko	KNIFE_object	0	homonym
845	veitsi	knife	tool	noun	veitsi		knife	knife	KNIFE_object	knife	veitsi	knife	veitsi	knife	0	homonym
846	veli	brother	human	noun	veli						veli	brother			0	Concept_list translation wrong
850	tieto	knowledge	abstract_high	noun	tieto	tieto					tieto	knowledge			0	
871	jalka	leg	bodypart	noun	jalka	jalka	leg		LEG_object	leg	jalka	leg			0	
872	legenda	legend	abstract_high	noun	legenda						legenda	legend			0	
873	sitruuna	lemon	fruit	noun	sitruuna		lemon	lemon	LEMON_object	lemon	sitruuna	lemon			0	
882	kirjasto	library	building	noun	kirjasto	kirjasto				library	kirjasto	library			0	
889	lime	lime	fruit	noun	lime		lime	lime	LIME_object	lime	lime	lime			0	
894	leijona	lion	animal	noun	leijona	leijona	lion	lion	LION_object	lion	leijona	lion			0	
895	huuli	lip	bodypart	noun	huulet	huulet	lips		LIPS_object	lip	huuli	lip			0	
911	logiikka	logic	abstract_high	noun	logiikka	logiikka					logiikka	logic			0	
925	taika	magic	abstract_high	noun	taika	taika					taika	magic			0	
932	mies	man	human	noun	mies					man	mies	man			0	
936	kartano	mansion	building	noun	kartano					mansion	kartano	mansion			0	
943	merkintä	marking	abstract_mid	noun	merkintä	merkintä					merkintä	marking			0	
946	materiaali	material	abstract_mid	noun	materiaali						materiaali	material			0	
951	merkitys	meaning	abstract_high	noun	merkitys	merkitys					merkitys	meaning			0	
957	väliaine	medium	abstract_mid	noun	väliaine						väli#aine	medium			0	
958	kokous	meeting	abstract_mid	noun	kokous						kokous	meeting			0	
963	meriitti	merit	abstract_high	noun	meriitti	meriitti					meriitti	merit			0	
964	metalli	metal	material	noun	metalli						metalli	metal			0	
966	metri	meter	abstract_mid	noun	metri						metri	meter			0	
978	ohjus	missile	weapon	noun	ohjus			missile		missile	ohjus	missile			0	
982	lapaset	mittens	clothing	noun	lapaset		mittens	mittens		mittens	lapanen	mittens			0	
987	luostari	monastery	building	noun	luostari						luostari	monastery			0	
988	raha	money	abstract_high	noun	raha	raha				money	raha	money			0	
994	aamu	morning	abstract_mid	noun	aamu	aamu					aamu	morning			0	
998	äiti	mother	human	noun	äiti						äiti	mother			0	
999	moottori	motor	vehicle	noun	moottori					motor	moottori	motor			0	The colloquialism for the word
1001	vuori	mountain	nature	noun	vuori	vuori				mountain	vuori	mountain			0	
1002	hiiri	mouse	animal	noun	hiiri	hiiri	mouse	mouse		mouse	hiiri	mouse			0	
1004	suu	mouth	bodypart	noun	suu	suu			MOUTH_object	mouth	suu	mouth			0	
1013	museo	museum	building	noun	museo	museo				museum	museo	museum			0	
1014	sieni	mushroom	vegetable	noun	sieni		mushroom	mushroom	MUSHROOM_object	mushroom	sieni	mushroom			0	
1015	musiikki	music	abstract_mid	noun	musiikki	musiikki					musiikki	music			0	
1022	luonto	nature	abstract_mid	noun	luonto	luonto					luonto	nature			0	Code claimed this was not in corpus?
1029	pesä	nest	nature	noun	pesä	pesä				nest	pesä	nest			0	
1031	uutinen	news	abstract_high	noun	uutinen						uutinen	news			0	
1032	sanomalehti	newspaper	text	noun	sanomalehti		newspaper			newspaper	sanoma#lehti	newspaper			0	
1034	ilta	evening	abstract_mid	noun	ilta	ilta					ilta	evening			0	
1038	nenä	nose	bodypart	noun	nenä	nenä	nose		NOSE_object	nose	nenä	nose			0	
1044	tammi	oak	nature	noun	tammi		oak	oak		oak	tammi	oak			0	
1055	sipuli	onion	vegetable	noun	sipuli		onion	onions	ONION_object	onion	sipuli	onion			0	
1056	mielipide	opinion	abstract_high	noun	mielipide						mieli#pide	opinion			0	
1067	happi	oxygen	abstract_mid	noun	happi	happi					happi	oxygen			0	
