eng_name	fin_name	category	word_class
knife	veitsi	tool	noun
ladder	tikapuut	tool	noun
ladle	kauha	tool	noun
ladybug	leppäkerttu	insect	noun
lamb	karitsa	animal	noun
lamp	valaisin	furniture	noun
land_rover	land rover	vehicle	noun
lantern	lyhty	artifact	noun
leek	purjo	vegetable	noun
leg	jalka	bodypart	noun
lemon	sitruuna	fruit	noun
lemonade	limonadi	drink	noun
leopard	leopardi	animal	noun
leotard	jumppapuku	clothing	noun
lettuce	lehtisalaatti	vegetable	noun
lily	lilja	plant	noun
lime	lime	fruit	noun
limousine	limusiini	vehicle	noun
lion	leijona	animal	noun
lip	huuli	bodypart	noun
lipstick	huulipuna	clothing	noun
lizard	lisko	animal	noun
llama	laama	animal	noun
lobster	hummeri	waterlife	noun
locust	sirkka	insect	noun
lorry	kuorma-auto	vehicle	noun
machete	viidakkoveitsi	weapon	noun
mackerel	makrilli	waterlife	noun
magpie	harakka	bird	noun
mango	mango	fruit	noun
marble	marmori	material	noun
marigold	kehäkukka	plant	noun
mask	naamio	clothing	noun
mat	ovimatto	furniture	noun
mayonnaise	majoneesi	food	noun
melon	meloni	fruit	noun
menu	ruokalista	text	noun
microscope	mikroskooppi	appliance	noun
microwave	mikroaaltouuni	appliance	noun
milk	maito	drink	noun
millipede	tuhatjalkainen	insect	noun
minnow	mutu	waterlife	noun
mirror	peili	furniture	noun
mittens	lapaset	clothing	noun
monkey	apina	animal	noun
moose	hirvi	animal	noun
mop	moppi	tool	noun
moped	mopo	vehicle	noun
mosquito	hyttynen	insect	noun
moss	sammal	plant	noun
moth	koi	insect	noun
motorcycle	moottoripyörä	vehicle	noun
mouse	hiiri	animal	noun
mug	muki	container	noun
mushroom	sieni	vegetable	noun
mussel	sinisimpukka	waterlife	noun
nail	kynsi	tool	noun
nail_polish	kynsilakka	clothing	noun
napkin	lautasliina	artifact	noun
necklace	kaulakoru	clothing	noun
nectarine	nektariini	fruit	noun
needle	neula	tool	noun
newspaper	sanomalehti	text	noun
nightingale	satakieli	bird	noun
nose	nenä	bodypart	noun
nut	pähkinä	fruit	noun
oak	tammi	nature	noun
octopus	mustekala	waterlife	noun
oil_tanker	öljytankkeri	vehicle	noun
olive	oliivi	fruit	noun
onion	sipuli	vegetable	noun
orange	appelsiini	fruit	noun
orchid	orkidea	plant	noun
organ	urut	instrument	noun
ostrich	strutsi	bird	noun
otter	saukko	animal	noun
oven	uuni	appliance	noun
owl	pöllö	bird	noun
ox	härkä	animal	noun
oyster	osteri	waterlife	noun
pamphlet	pamfletti	abstract_high	noun
pansy	orvokki	plant	noun
panther	pantteri	animal	noun
panties	pikkuhousut	clothing	noun
parakeet	aratti	bird	noun
parka	anorakki	clothing	noun
parsley	persilja	vegetable	noun
partridge	peltopyy	bird	noun
pea	herne	vegetable	noun
peach	persikka	fruit	noun
peacock	riikinkukko	bird	noun
peanut	maapähkinä	fruit	noun
pear	päärynä	fruit	noun
peeler	kuorija	tool	noun
peg	tappi	tool	noun
pelican	pelikaani	bird	noun
pen	kynä	tool	noun
pencil	lyijykynä	tool	noun
penguin	pingviini	bird	noun
penknife	linkkuveitsi	weapon	noun
pennicillin	penisilliini	medicine	noun
perfume	hajuvesi	clothing	noun
piano	piano	instrument	noun
pie	piirakka	food	noun
pig	sika	animal	noun
pigeon	pulu	bird	noun
pillow	tyyny	furniture	noun
pin	nasta	tool	noun
pineapple	ananas	fruit	noun
pine	mänty	plant	noun
pipe	piippu	artifact	noun
pistol	pistooli	weapon	noun
plate	lautanen	tool	noun
platypus	vesinokkaeläin	animal	noun
pliers	pihdit	tool	noun
plough	lumiaura	vehicle	noun
plum	luumu	fruit	noun
poison	myrkky	medicine	noun
pony	poni	animal	noun
poppy	unikko	plant	noun
porcupine	piikkisika	animal	noun
porsche	porsche	vehicle	noun
potato	peruna	vegetable	noun
