id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1363	vaja	shed	place	noun				shed		shed	vaja	shed			
1364	lammas	sheep	animal	noun	lammas	lammas	sheep	sheep	SHEEP_object	sheep	lammas	sheep			
1370	laiva	ship	vehicle	noun	laiva	laiva	ship	ship	SHIP_object	ship	laiva	ship			
1371	paita	shirt	clothing	noun	paita		shirt	shirt	SHIRT_object	shirt	paita	shirt			
1372	kenkä	shoe	clothing	noun	kenkä		shoes	shoes	SHOE_object	shoe	kenkä	shoe			
1373	kengännauha	shoestring	clothing	noun						shoestring	kengän#nauha	shoestring			
1374	myymälä	shop	place	noun						shop	myymälä	shop			
1375	ranta	shore	nature	noun						shore	ranta	shore			
1377	olkapää	shoulder	bodypart	noun					SHOULDER_object	shoulder	olka#pää	shoulder			noun & verb
1380	lapio	shovel	tool	noun	lapio	lapio	shovel	shovel	SHOVEL_object	shovel	lapio	shovel			
1382	katkarapu	shrimp	waterlife	noun			shrimp	shrimp		shrimp	katka#rapu	shrimp			
1383	jalkakäytävä	sidewalk	place	noun						sidewalk	jalka#käytävä	sidewalk			
1386	kyltti	sign	text	noun						sign	kyltti	sign			
1388	allas	sink	furniture	noun			sink	sink		sink	lavuaari	sink			
1392	luistin	skate	sport	noun						skate	luistin	skate			
1393	skeittilauta	skateboard	sport	noun			skateboard	skateboard		skateboard	skeitti#lauta	skateboard			
1394	suksi	ski	sport	noun			skis	skis		ski	suksi	ski			
1397	iho	skin	bodypart	noun						skin	iho	skin			
1398	hame	skirt	clothing	noun	hame		skirt	skirt	SKIRT_object	skirt	hame	skirt			
1399	pääkallo	skull	bodypart	noun						skull	kallo	skull			
1400	haisunäätä	skunk	animal	noun			skunk	skunk		skunk	haisu#näätä	skunk			
1401	taivas	sky	nature	noun						sky	taivas	sky			
1402	pilvenpiirtäjä	skyscraper	place	noun				skyscraper		skyscraper	pilven#piirtäjä	skyscraper			
1404	kelkka	sledge	vehicle	noun			sledge	sled		sled	kelkka	sledge			
1406	hiha	sleeve	clothing	noun						sleeve	hiha	sleeve			noun & verb
1407	reki	sleigh	vehicle	noun				sleigh		sleigh	reki	sleigh			noun & verb
1408	liukumäki	slide	artifact	noun						slide	liuku#mäki	slide			
1411	aamutossu	slipper	clothing	noun			slippers	slippers		slipper	aamu#tossu	slipper			
1412	rinne	slope	nature	noun						slope	rinne	slope			
1414	loska	slush	nature	noun						slush	loska	slush			noun & verb
1416	hymy	smile	action	noun						smile	hymy	smile			noun & verb
1418	savu	smoke	material	noun						smoke	savu	smoke			
1420	etana	snail	insect	noun			snail	snail		snail	etana	snail			
1421	käärme	snake	animal	noun						snake	käärme	snake			
1422	lenkkitossu	sneaker	sport	noun						sneaker	lenkkari	sneaker			
1425	lumi	snow	nature	noun						snow	lumi	snow			
1426	saippua	soap	material	noun						soap	saippua	soap			The colloquialism for the word
1427	sukka	sock	clothing	noun	sukka		sock	socks	SOCK_object	sock	sukka	sock			
1428	kivennäisvesi	soda	drink	noun						soda	vissy	soda			
1429	sohva	sofa	furniture	noun			sofa	sofa		sofa		sofa			
1430	maaperä	soil	nature	noun						soil	maa#perä	soil			
1434	keitto	soup	food	noun			soup			soup	keitto	soup			
1435	puutarhalapio	spade	tool	noun			spade	spade		spade	puu#tarha#lapio	spade			
1436	spagetti	spaghetti	food	noun						spaghetti	spagetti	spaghetti			
1438	kipinä	spark	nature	noun						spark	kipinä	spark			
1439	varpunen	sparrow	bird	noun			sparrow	sparrow		sparrow	varpunen	sparrow			
1441	keihäs	spear	weapon	noun			spear	spear		spear	keihäs	spear			
1442	tuhru	speck	other	noun						speck	tuhru	speck			
1445	mauste	spice	food	noun						spice	mauste	spice			
1446	hämähäkki	spider	insect	noun			spider	spider		spider	hämähäkki	spider			
1450	pesusieni	sponge	artifact	noun						sponge	pesu#sieni	sponge			
1451	kela	spool	tool	noun						spool	kela	spool			
1452	lusikka	spoon	tool	noun	lusikka	lusikka	spoon	spoon	SPOON_object	spoon	lusikka	spoon			
1454	orava	squirrel	animal	noun			squirrel	squirrel		squirrel	orava	squirrel			
1455	talli	stable	place	noun	talli					stable	talli	stable			
1456	stadion	stadium	place	noun						stadium	stadion	stadium			Code claimed this was not in corpus?
1457	tahra	stain	other	noun						stain	tahra	stain			
1458	porras	stair	artifact	noun						stair	porras	stair			
1459	portaikko	staircase	place	noun						staircase	portaikko	staircase			
1460	nitoja	stapler	tool	noun						stapler	nitoja	stapler			
1461	tähti	star	nature	noun	tähti					star	tähti	star			
1465	pihvi	steak	food	noun						steak	pihvi	steak			
1466	höyry	steam	material	noun						steam	höyry	steam			
1467	kanta	stem	abstract	noun						stem	kanta	stem			
1468	rappu	step	artifact	noun						step	rappu	step			
1470	pataruoka	stew	food	noun						stew	pata#ruoka	stew			stick_insect not in corpus
1471	keppi	stick	nature	noun			stick	stick		stick	keppi	stick			
1473	rausku	stingray	waterlife	noun						stingray	rausku	stingray			
1474	sukkahousut	stocking	clothing	noun			stockings	nylons		stocking	sukka#housu	stocking			
1475	vatsa	stomach	bodypart	noun						stomach	vatsa	stomach			
1476	kivi	stone	nature	noun			stone	stone		stone	kivi	stone			
1477	jakkara	stool	furniture	noun	jakkara		stool	stool_(furniture)		stool	jakkara	stool			
1479	kauppa	store	place	noun						store	kauppa	store			
1482	hella	stove	appliance	noun			stove	stove		stove	hella	stove			
1485	olki	straw	material	noun						straw	olki	straw			
1486	mansikka	strawberry	fruit	noun	mansikka		strawberry	strawberry	STRAWBERRY_object	strawberry	mansikka	strawberry			
1487	virta	stream	nature	noun						stream	virta	stream			
1488	katu	street	other	noun						street	katu	street			
1489	katuvalot	streetlights	appliance	noun						streetlights	katu#valo	streetlights			
1490	naru	string	tool	noun						string	naru	string			
1492	sukellusvene	submarine	vehicle	noun			submarine	submarine		submarine	sukellus#vene	submarine			
1495	sokeri	sugar	food	noun			sugar			sugar	sokeri	sugar			No specific word, the word rusina occurs twice
1498	aurinko	sun	nature	noun						sun	aurinko	sun			
1499	auringonpolttama	sunburn	nature	noun						sunburn	aurinko#polttama	sunburn			
1500	aurinkokello	sundial	artifact	noun						sundial	aurinko#kello	sundial			
1502	aurinkolasit	sunglasses	clothing	noun						sunglasses	aurinko#lasit	sunglasses			
1503	auringon paiste	sunshine	nature	noun						sunshine	auringon#paiste	sunshine			
1504	supermarketti	supermarket	place	noun						supermarket	super#marketti	supermarket			
1505	illallinen	supper	other	noun						supper	illallinen	supper			
1506	surffaus	surf	sport	noun						surf	surffaus	surf			
1507	lainelauta	surfboard	sport	noun			surfboard	surfboard		surfboard	laine#lauta	surfboard			
1509	hiki	sweat	medicine	noun						sweat	hiki	sweat			
1510	villapaita	sweater	clothing	noun	villapaita		sweater	sweater	SWEATER_object	sweater	villa#paita	sweater			
1511	collegepaita	sweatshirt	clothing	noun						sweatshirt	college#paita	sweatshirt			
1516	miekka	sword	weapon	noun	miekka		sword	sword	SWORD_object	sword	miekka	sword			
1520	siirappi	syrup	food	noun						syrup	siirappi	syrup			
1522	pöytä	table	furniture	noun	pöytä		table	table		table	pöytä	table			
1523	ruokalusikka	tablespoon	tool	noun						tablespoon	ruoka#lusikka	tablespoon			
1525	taco	taco	food	noun						taco	taco	taco			
1526	häntä	tail	bodypart	noun	häntä					tail	häntä	tail			
1529	tangeriini	tangerine	fruit	noun			tangerine	tangerine		tangerine	tangeriini	tangerine			homonym
1537	tee	tea	drink	noun			tea			tea	tee	tea			
1540	kyynel	tear	action	noun						tear	kyynel	tear			
1541	hampaat	teeth	bodypart	noun					TEETH_object	teeth		teeth			
1542	puhelin	telephone	appliance	noun			telephone	telephone		telephone	puhelin	telephone			
1543	teleskooppi	telescope	appliance	noun						telescope	teleskooppi	telescope			
1544	televisio	television	appliance	noun			television			television	tele#visio	television			
1546	teltta	tent	place	noun			tent	tent		tent	teltta	tent			
1549	teatteri	theater	social	noun						theater	teatteri	theater			
1550	kuumemittari	thermometer	appliance	noun			thermometer	thermometer		thermometer	kuume#mittari	thermometer			
1551	reisi	thigh	bodypart	noun						thigh	reisi	thigh			
1553	piikki	thorn	plant	noun						thorn	piikki	thorn			
1555	ompelulanka	thread	artifact	noun						thread	ompelulanka	thread			
1556	kurkku	throat	bodypart	noun						throat	nielu	throat			
1557	valtaistuin	throne	furniture	noun			throne			throne	valta#istuin	throne			
1559	peukalo	thumb	bodypart	noun	peukalo		thumb		THUMB_object	thumb	peukalo	thumb			
1560	salama	thunderbolt	nature	noun						thunderbolt		thunderbolt			
1561	pääsylippu	ticket	other	noun						ticket	pääsy#lippu	ticket			
1563	solmio	tie	clothing	noun				tie		tie	solmio	tie			
1564	tiikeri	tiger	animal	noun	tiikeri		tiger	tiger	TIGER_object	tiger	tiikeri	tiger			
1568	rengas	tire	artifact	noun			tyre			tire	rengas	tire			
1569	rupikonna	toad	animal	noun			toad	toad		toad	rupi#konna	toad			
1570	paahtoleipä	toast	food	noun						toast	paahto#leipä	toast			
1571	leivänpaahdin	toaster	appliance	noun			toaster	toaster		toaster	leivän#paahdin	toaster			
1572	tupakka	tobacco	food	noun			tobacco			tobacco	tupakka	tobacco			
1573	varvas	toe	bodypart	noun	varvas	varvas	toe		TOE_object	toe	varvas	toe			
1574	vessa	toilet	place	noun			toilet	toilet		toilet	vessa	toilet			
1576	tomaatti	tomato	vegetable	noun			tomato	tomato		tomato	tomaatti	tomato			
1578	kieli	tongue	bodypart	noun			tongue			tongue	kieli	tongue			
1579	hammas	tooth	bodypart	noun						tooth	hammas	tooth			
1580	hammasharja	toothbrush	tool	noun					TOOTHBRUSH_object	toothbrush	hammas#harja	toothbrush			
1581	hammastahna	toothpaste	medicine	noun						toothpaste	hammas#tahna	toothpaste			
1582	hammastikku	toothpick	medicine	noun						toothpick	hammas#tikku	toothpick			
1583	tornado	tornado	nature	noun						tornado	tornado	tornado			
1586	pyyhe	towel	artifact	noun						towel	pyyhe	towel			
1588	lelu	0	toy	noun				toy		toy	lelu	toy			
1589	traktori	0	vehicle	noun			tractor	tractor		tractor	traktori	tractor			
1590	polku	0	nature	noun						trail	polku	trail			
1592	0	train	vehicle	noun	juna	juna	train	train	TRAIN_object	train	juna	train			
1593	roska	0	container	noun						trash	roska	trash			
1594	tarjotin	0	container	noun			tray	tray		tray	tarjotin	tray			
1595	puu	0	plant	noun						tree	puu	tree			
1596	heimo	0	social	noun						tribe	heimo	tribe			
1600	pasuuna	0	instrument	noun			trombone	trombone		trombone	pasuuna	trombone			
1601	pokaali	0	artifact	noun						trophy	pokaali	trophy			
1602	housut	trousers	clothing	noun			trousers	trousers	PANTS_object	pants	housu	trousers			myös muurauskauha
1603	taimen	0	waterlife	noun			trout	trout		trout	taimen	trout			
1605	rekka	0	vehicle	noun	rekka	rekka	truck	truck	TRUCK_object	truck	rekka	truck			
1606	trumpetti	0	instrument	noun			trumpet	trumpet		trumpet	trumpetti	trumpet			
1607	t-paita	t-shirt	clothing	noun						tshirt	t#paita	t_shirt			
1608	tuuba	0	instrument	noun			tuba	tuba		tuba	tuuba	tuba			
1610	tulppaani	0	plant	noun			tulip			tulip	tulppaani	tulip			
1612	tunneli	0	place	noun			turkey	turkey		tunnel	tunneli	tunnel			
1614	merikilpikonna	0	animal	noun			turtle	turtle		turtle	meri#kilpi#konna	turtle			
1615	pinsetit	tweezers	tool	noun	pinsetit		tweezers		TWEEZERS_object	tweezers	pinsetit	tweezers			
1616	risu	0	nature	noun						twig	risu	twig			
1617	kirjoituskone	0	appliance	noun			typewriter	typewriter		typewriter	kirjoitus#kone	typewriter			
1618	sateenvarjo	0	artifact	noun			umbrella	umbrella		umbrella	sateen#varjo	umbrella			
1619	alusvaate	0	clothing	noun						underwear	alus#vaate	underwear			
1620	yksisarvinen	0	abstract	noun						unicorn	yksisarvinen	unicorn			väärinpilkottu fin coprus
1622	univormu	0	clothing	noun						uniform	uni#vormu	uniform			
1623	yliopisto	0	abstract	noun						university	yli#opisto	university			
1624	taajama	0	place	noun	taajama					town	taajama	town			
1625	pisoaari	0	furniture	noun						urinal	pisoaari	urinal			
1627	työväline	0	tool	noun						utensil	työ#väline	utensil			
1628	tyhjiö	0	abstract	noun						vacuum	tyhjiö	vacuum			
1630	laakso	0	nature	noun	laakso					valley	laakso	valley			
1631	pakettiauto	van	vehicle	noun	pakettiauto		van	van	VAN_object	van	paketti#auto	van			
1632	vaasi	0	container	noun						vase	vaasi	vase			
1633	kasvis	0	vegetable	noun						vegetable	kasvis	vegetable			
1635	laskimo	0	bodypart	noun						vein	laskimo	vein			
1636	liivi	0	clothing	noun				vest	VEST_object	vest	liivi	vest			
1637	kylä	village	place	noun	kylä					village	kylä	village			
1639	viulu	0	instrument	noun			violin	violin		violin	viulu	violin			
1640	tulivuori	0	nature	noun						volcano	tuli#vuori	volcano			
1641	lentopallo	0	sport	noun						volleyball	lento#pallo	volleyball			
1642	haaskalintu	0	bird	noun				vulture		vulture	haaska#lintu	vulture			
1645	vyötärö	0	bodypart	noun						waist	vyötärö	waist			
1647	muuri	wall	place	noun	muuri			wall		wall	muuri	wall			
1648	lompakko	0	accessory	noun			wallet			wallet	lompakko	wallet			
1649	tapetti	0	furniture	noun						wallpaper	tapetti	wallpaper			
1650	saksanpähkinä	0	food	noun				walnut		walnut	saksan#pähkinä	walnut			
1651	mursu	0	animal	noun			walrus	walrus		walrus	mursu	walrus			
1653	syylä	0	medicine	noun						wart	syylä	wart			
1657	rannekello	0	accessory	noun			watch			watch	ranne#kello	watch			
1659	vesi	0	nature	noun	vesi					water	vesi	water			
1660	0	0	vegetable	noun	vesimeloni		watermelon		WATERMELON_object	watermelon	vesi#meloni	watermelon			
1661	0	wave	nature	noun	aalto	aalto				wave	aalto	wave			
1662	vaha	0	material	noun						wax	vaha	wax			
1663	häät	0	social	noun						wedding	häät	wedding			
1664	rikkaruoho	0	plant	noun						weed	rikka#ruoho	weed			Ei pilkottu fin coprus
1667	valas	whale	waterlife	noun			whale	whale		whale	valas	whale			
1668	vehnä	wheat	food	noun						wheat	vehnä	wheat			
1669	pyörä	wheel	tool	noun			wheel	wheel		wheel	pyörä	wheel			
1672	piiska	whip	tool	noun			whip	whip		whip	piiska	whip			
1674	viiksi	whisker	other	noun						whisker	viiksi	whisker			
