id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
909	airo	oar	tool	noun						oar	airo	oar			
910	puuro	oatmeal	food	noun						oatmeal	puuro	oatmeal			Code claimed this was not in corpus?
911	meri	ocean	nature	noun						ocean	valta#meri	ocean			
912	mustekala	octopus	waterlife	noun			octopus	octopus		octopus	muste#kala	octopus			
913	toimisto	office	place	noun						office	toimisto	office			
914	öljy	oil	material	noun						oil	öljy	oil			
915	öljytankkeri	oil_tanker	vehicle	noun			oil_tanker				öljy#tankkeri	oiler			
916	oliivi	olive	fruit	noun			olive	olive			oliivi	olive			
917	sipuli	onion	vegetable	noun	sipuli		onion	onions	ONION_object	onion	sipuli	onion			
918	mielipide	opinion	abstract	noun	mielipide						mieli#pide	opinion			
919	appelsiini	orange	fruit	noun			orange	orange	ORANGE_object		appelsiini	orange			
920	orkidea	orchid	plant	noun			orchid				orkidea	orchid			
921	urut	organ	instrument	noun			organ_(musical_instrument)				urut	organ			
922	kuhankeittäjä	oriole	bird	noun				oriole			kuhan#keittäjä	oriole			
923	strutsi	ostrich	bird	noun			ostrich	ostrich		ostrich	strutsi	ostrich			
924	saukko	otter	animal	noun			otter	otter		otter	saukko	otter			
925	asu	outfit	clothing	noun						outfit	asu	outfit			
926	uuni	oven	appliance	noun			oven	oven		oven	uuni	oven			
927	pöllö	owl	bird	noun			owl	owl		owl	pöllö	owl			
928	härkä	ox	animal	noun			ox	ox		ox	härkä	ox			
929	happi	oxygen	other	noun	happi	happi					happi	oxygen			
930	osteri	oyster	waterlife	noun			oyster				osteri	oyster			
931	pakkaus	package	container	noun						package	pakkaus	package			
932	sivu	page	other	noun						page	sivu	page			väärinpilkottu fin coprus
933	maalata	paint	action	verb					PAINT_actionV	paint	maa#lata	paint			
934	pensseli	paintbrush	tool	noun				paintbrush			pensseli	paintbrush			
935	maalaus	painting	text	noun	maalaus					painting	maalaus	painting			
936	palatsi	palace	place	noun	palatsi						palatsi	palace			
937	pamfletti	pamphlet	abstract	noun			pamphlet				pamfletti	pamphlet			
938	pannu	pan	container	noun				pan		pan	pannu	pan			
939	pannukakku	pancake	food	noun						pancake	pannu#kakku	pancake			
940	orvokki	pansy	plant	noun			pansy				orvokki	pansy			
941	pantteri	panther	animal	noun	pantteri		panther	panther			pantteri	panther			
